file,word,context,suggestions,confidence,rule_id
2015-07-03-samyy-svezhiy-obhor-d3view.md:title,обхор,Самый свежий обхор d3VIEW 😊,обход | обжор | обзор | об хор | об-хор,LOW,SPELLING
2015-07-03-samyy-svezhiy-obhor-d3view.md:body,обхор,"Самый свежий обхор d3VIEW 😊
Август 2010",обход | обжор | обзор | об хор | об-хор,LOW,SPELLING
2015-07-10-na-temu-modnogo-trendabazvorda-importo.md:title,тренда,"На тему модного тренда/базворда ""импортозамещение"": существуют отечественные великие и ужасные пакет",аренда | терна | торена | тренаж | стенда,LOW,SPELLING
2015-07-10-na-temu-modnogo-trendabazvorda-importo.md:title,базворда,"На тему модного тренда/базворда ""импортозамещение"": существуют отечественные великие и ужасные пакет",развода | развод | разводах | разводам | разводе,LOW,SPELLING
2015-07-11-nakonets-u-menya-poyavilsya-shans-zarabotat.md:title,Хабре,Наконец у меня появился шанс заработать инвайт на великом и ужасном Хабре!,Хабаре | Харе | Жабре,LOW,SPELLING
2015-07-13-askon-razrabotchik-ochen-neplohogo-cad-a.md:title,КОМПАС-3D,"АСКОН, разработчик очень неплохого CAD-a КОМПАС-3D, совместно с 3Dconnexion, дочерней компанией Logi",КОМПАС | КОМПАСА | КОМПАСЕ | КОМПАСУ | КОМПАСЫ,LOW,SPELLING
2015-07-13-askon-razrabotchik-ochen-neplohogo-cad-a.md:body,Супермышь,"Конкурс уже начался, и работы принимаются до 1 августа. Одним из призов и будет манипулятор. С участ",Супер мышь | Супер-мышь,LOW,SPELLING
2015-07-15-postaralsya-otkinut-snobizm-vyzvannyy-m.md:body,софта,"Даже смог посмотреть битый вебинар. Получилось примерно следующее:

- Сетку построили прямо скажем н",софита | софа | кофта | сорта | соф та,LOW,SPELLING
2015-07-16-altair-na-etoy-nedele-v-udare-oni-ne-to.md:body,софт,"Они не только запустили проект с AWS, но и реализовали свой софт для работы с облаком Microsoft Azur",софит | соф | сот | кофт | софа,LOW,SPELLING
2015-07-16-nebolshoy-no-ochen-interesnyy-obzor-dev.md:title,Дэвида,"Небольшой, но очень интересный обзор Дэвида Бенсона (David J.",Давида | Вида | Твида | Эгида | Давид,LOW,SPELLING
2015-07-16-nebolshoy-no-ochen-interesnyy-obzor-dev.md:title,Бенсона,"Небольшой, но очень интересный обзор Дэвида Бенсона (David J.",Безансона | Бензоина | Пенсиона | Басона | Бекона,LOW,SPELLING
2015-07-16-nebolshoy-no-ochen-interesnyy-obzor-dev.md:body,решателям,Benson) посвященный истории становления моей любимой LS-DYNA. Было бы интересно собрать коллекцию по,вешателям | решат елям | решат-елям | вешателями | вешателя,LOW,SPELLING
2015-07-17-eto-byl-by-standartnyy-marketing-on-ansy.md:body,селфи,В первых минутах видео пара делает странное селфи ... на втором этаже Невской линии Большого Гостино,сели | сел фи | сел-фи | если | секли,LOW,SPELLING
2015-07-17-eto-byl-by-standartnyy-marketing-on-ansy.md:body,Во-первых,В первых минутах видео пара делает странное селфи ... на втором этаже Невской линии Большого Гостино,Первых | Оперных | Опертых | Волевых | Впертых,LOW,SPELLING
2015-07-17-eto-byl-by-standartnyy-marketing-on-ansy.md:body,селфи,В первых минутах видео пара делает странное селфи ... на втором этаже Невской линии Большого Гостино,сели | сел фи | сел-фи | если | секли,LOW,SPELLING
2015-07-17-eto-byl-by-standartnyy-marketing-on-ansy.md:body,Во-вторых,В первых минутах видео пара делает странное селфи ... на втором этаже Невской линии Большого Гостино,Повторных | Которых | Повторный | Который,LOW,SPELLING
2015-07-17-eto-byl-by-standartnyy-marketing-on-ansy.md:body,тольк,В первых минутах видео пара делает странное селфи ... на втором этаже Невской линии Большого Гостино,только | толк | толь | тальк | толок,LOW,SPELLING
2015-07-17-vse-taki-tosca-samyy-krutoy-optimizato.md:title,морфер,Все таки TOSCA - самый крутой оптимизатор топологии и морфер для поверхности тела.,морфе | морфем | морф ер | морф-ер | море,LOW,SPELLING
2015-07-18-vse-chto-vy-hoteli-sdelat-s-elektrondvi.md:title,электрондвигателем,"Все, что вы хотели сделать с электрондвигателем, но боялись в этом признаться.",электродвигателем | электрон двигателем | электрон-двигателем | электродвигателе | электродвигатель,LOW,SPELLING
2015-07-20-nu-i-samaya-interesnaya-seychas-na-moy-vzg.md:body,демо,"Да, конечно решатели и сеткопостроители COMSOL больше подходят для академической и научной среды, че",демон | дело | депо | немо | семо,LOW,SPELLING
2015-07-21-i-esche-odin-vendor-proizvodyaschiy-soft-dlya.md:title,вендор,"И еще один вендор, производящий софт для топологической оптимизации - компания  solidThinking. Они о",ведро | военкор | Виндзор | тенор | ведер,LOW,SPELLING
2015-07-21-i-esche-odin-vendor-proizvodyaschiy-soft-dlya.md:title,софт,"И еще один вендор, производящий софт для топологической оптимизации - компания  solidThinking. Они о",софит | соф | сот | кофт | софа,LOW,SPELLING
2015-07-21-i-esche-odin-vendor-proizvodyaschiy-soft-dlya.md:body,первии,"Завтра у них стартует серия вебинаров по обновленной первии ПО. Надо постараться посмотреть.
 

 sol",вервии | Персии | церии,LOW,SPELLING
2015-07-22-neplohaya-publikatsiya-na-temu-ansys-aim-t.md:body,бесшовностью,"Продукт весьма любопытен своей бесшовностью при решении междисциплинарных задач. Хотя тот факт, что ",бескровностью | бесхозностью | бесшумностью | бескровность | бесхозность,LOW,SPELLING
2015-07-22-sovershenno-sluchayno-natknulsya-na-arhiv-m.md:title,краш,Совершенно случайно наткнулся на архив моделей автомобилей подготовленных для расчетов краш текстов ,краше | крашу | каш | краю | краб,LOW,SPELLING
2015-07-23-kompaniya-beta-cae-vykatila-mazhornuyu-vers.md:title,построцессора,Компания BETA CAE выкатила мажорную версию своего построцессора µETA.,постпроцессора | постпроцессорах | постпроцессорам | постпроцессор | постпроцессоре,LOW,SPELLING
2015-07-23-kompaniya-beta-cae-vykatila-mazhornuyu-vers.md:body,Софт,"Софт очень суровый, но и очень мощный. Я даже видел пару раз в живую, какие чудеса он умеет творить ",Софит | Соф | Сот | Кофт | Софа,LOW,SPELLING
2015-07-23-nekotorym-lyudyam-mala-270+-shablonov-mater.md:title,заложеных,Некоторым людям мала 270+ шаблонов материалов заложеных а LS-DYNA.,заложенных | заложены | наложенных,LOW,SPELLING
2015-07-23-nekotorym-lyudyam-mala-270+-shablonov-mater.md:body,мануала,Для них существует Fortran и пользовательские материалы. Всем начинающим этот нелегкий путь рекоменд,мангала | махнула | макнула | мазнула | мангалах,LOW,SPELLING
2015-07-24-uvlekatelnoe-chtivo-na-vyhodnye-kompani.md:body,софтом,"Компания ESI, знаменитая своим софтом моделирования процессов метало обработки, сварки и литья выпус",софитом | сотом | сортом | соф том | соф-том,LOW,SPELLING
2015-07-27-pohozhe-grekam-malo-imet-v-svoem-rasporya.md:title,пре,Похоже грекам мало иметь в своем распоряжении одни из лучших средств для пре/постпроцессинга.,пер | пюре | паре | пере | пире,LOW,SPELLING
2015-07-27-s-udivleniem-dlya-sebya-ya-vse-chasche-zamechayu.md:body,обзорчик,"Пока вот небольшой обзорчик консалтинга на эту тему. Позднее посмотрим, какие задачи можно решать да",обзор чик | обзор-чик | озорник | узорчик | обходчик,LOW,SPELLING
2015-07-29-msc-software-segodnya-zapustila-svoyu-sist.md:body,чем-то,"Система чем-то напоминает Adobe Creative Cloud, но для CAE. Вы подписываетесь на пул виртуальных жет",четно | четою | четой | четок | чебот,LOW,SPELLING
2015-07-29-msc-software-segodnya-zapustila-svoyu-sist.md:body,cвою,"Система чем-то напоминает Adobe Creative Cloud, но для CAE. Вы подписываетесь на пул виртуальных жет",вою | хвою | ивою | свою | твою,LOW,SPELLING
2015-07-31-statya-o-trudnostyah-proektirovaniya-avtom.md:title,софта,Статья о трудностях проектирования автомобильных кресел при помощи софта от ESI.,софита | софа | кофта | сорта | соф та,LOW,SPELLING
2015-07-31-statya-o-trudnostyah-proektirovaniya-avtom.md:body,вендор,"Особо рекомендую сходить на сайт вендор и ознакомится с материалами.

 Driving by the Seat of Your P",ведро | военкор | Виндзор | тенор | ведер,LOW,SPELLING
2015-07-31-vy-lyubite-pisat-otchety-net-nu-chestno.md:body,что-то,"Нет, ну честно, кто любит писать отчеты? Специально для нас всех у Altair есть Automated Reporting D",ото | тот | что | фото | лото,LOW,SPELLING
2015-08-03-polygonica-poobeschala-chto-v-novom-relize.md:title,софта,"Polygonica пообещала, что в новом релизе своего софта они смогут на основе анализа STL моделей поним",софита | софа | кофта | сорта | соф та,LOW,SPELLING
2015-08-04-dlya-vseh-zhelayuschih-s-litsenziey-stala-dost.md:title,скачивания,Для всех желающих с лицензией стала доступна для скачивания бета-версия релиза 2016 моего любимого S,скашивания | смачивания | стачивания | укачивания | вкачивания,LOW,SPELLING
2015-08-05-ms-v-bloge-rasskazyvaet-o-tom-kak-v-ih.md:title,блоге,"MS в блоге рассказывает о том, как в их Azure хорошо работает научный HPC софт благодаря RDMA.",боге | логе | благе | блохе | блоке,LOW,SPELLING
2015-08-05-ms-v-bloge-rasskazyvaet-o-tom-kak-v-ih.md:title,софт,"MS в блоге рассказывает о том, как в их Azure хорошо работает научный HPC софт благодаря RDMA.",софит | соф | сот | кофт | софа,LOW,SPELLING
2015-08-07-nakonets-vyshlo-workbench-ls-dyna-act-161.md:title,багфиксов,Наконец вышло Workbench LS-DYNA ACT 16.1. Надеюсь в будущем они научатся не отставать от релизов сам,аффиксов | аффикс | аффиксом,LOW,SPELLING
2015-08-08-poka-vydumaete-chem-zanyat-klaster-vasheg.md:title,фотореалистичную,"Пока выдумаете, чем занять кластер вашего предприятия (если таковой имеется), как туда поставить оче",фото реалистичную | фото-реалистичную,LOW,SPELLING
2015-08-08-poka-vydumaete-chem-zanyat-klaster-vasheg.md:title,физичную,"Пока выдумаете, чем занять кластер вашего предприятия (если таковой имеется), как туда поставить оче",физичку | циничную | финитную | финишную | физичкою,LOW,SPELLING
2015-08-08-poka-vydumaete-chem-zanyat-klaster-vasheg.md:body,суперкомпьютера,"!!) ему потребовалось 20 000 ядер суперкомпьютера Blue Waters, принадлежащего NCSA.

Подробнее можно",супер компьютера | супер-компьютера,LOW,SPELLING
2015-08-08-robastnoe-proektirovanie-v-comsol-mozhno.md:title,Робастное,Робастное проектирование в COMSOL?,Областное | Лобастое | Зобастое | Лопастное | Областной,LOW,SPELLING
2015-08-08-robastnoe-proektirovanie-v-comsol-mozhno.md:body,наукоемко,"Можно, но сложно. По крайней мере, мне кажется, что для решения промышленных задач слишком наукоемко",наукоемкою | наукоемкое | наукоемкой | наукоемком,LOW,SPELLING
2015-08-09-ansys-cfx-i-strukturirovannaya-setka-iz-t.md:title,завораживающе,ANSYS CFX и структурированная сетка из TwinMesh - завораживающе!,завораживающею | завораживающее | завораживающей | завораживающем | завораживающие,LOW,SPELLING
2015-08-11-lms-virtuallab-ot-siemens-chto-to-u-sie.md:body,Что-то,"Что-то у Siemens совсем скучный маркетинг на мой взгляд, хотя продукты хорошие.

LMS Virtual.Lab - A",Ото | Тот | Что | Фото | Лото,LOW,SPELLING
2015-08-12-spustya-5-mesyatsev-posle-vyhoda-ios-versii.md:title,смартфоне,Спустя 5 месяцев после выхода iOS версии облачного CAD пакета Onshape стало доступно приложение и дл,марафоне | марафон | марафона | марафону | марафоны,LOW,SPELLING
2015-08-20-ptc-prodolzhaet-rasskazyvat-vsem-pro-svo.md:body,кто-то,"Идея конечно очень хорошая, но во мне живет параноик. Ведь если кто-то обидит сервера PTC, то с них ",Киото | котом | котов | кот | кто,LOW,SPELLING
2015-08-21-est-povod-podnyat-bokaly-za-ocherednogo.md:body,пре,"На этой неделе празднует свое тридцатилетие замечательный пре/постпроцессор Femap. Жаль, что мне пок",пер | пюре | паре | пере | пире,LOW,SPELLING
